"id","code","name","user_type_id:id","reconcile","chart_template_id:id"
"a_x_761_01_004","761.01.004","PENYUSUTAN MPOS","l10n_id_mpn_chart.data_account_type_penyusutan",FALSE,"l10n_id_mpn_chart"
"a_x_761_01_005","761.01.005","PENYUSUTAN ASET PENGAMPUNAN PAJAK","l10n_id_mpn_chart.data_account_type_penyusutan",FALSE,"l10n_id_mpn_chart"
"a_x_761_01_006","761.01.006","PENYUSUTAN MESIN GRG","l10n_id_mpn_chart.data_account_type_beban_penyusutan",FALSE,"l10n_id_mpn_chart"
"a_x_761_01_007","761.01.007","PENYUSUTAN TMD","l10n_id_mpn_chart.data_account_type_beban_penyusutan",FALSE,"l10n_id_mpn_chart"
"a_x_761_01_008","761.01.008","PENYUSUTAN RENOVASI BANGUNAN","l10n_id_mpn_chart.data_account_type_penyusutan",FALSE,"l10n_id_mpn_chart"
"a_x_761_02_001","761.02.001","AMORTISASI SOFTWARE","l10n_id_mpn_chart.data_account_type_amortisasi",FALSE,"l10n_id_mpn_chart"
"a_x_799_99_999","799.99.999","BIAYA LAIN-LAIN","l10n_id_mpn_chart.data_account_type_lainnya",FALSE,"l10n_id_mpn_chart"
"a_x_811_01_001","811.01.001","PENDAPATAN BUNGA BANK EKONOMI","l10n_id_mpn_chart.data_account_type_bunga_bank",FALSE,"l10n_id_mpn_chart"
"a_x_811_01_002","811.01.002","PENDAPATAN BUNGA BANK BPRKS","l10n_id_mpn_chart.data_account_type_bunga_bank",FALSE,"l10n_id_mpn_chart"
"a_x_811_01_003","811.01.003","PENDAPATAN BUNGA BANK MANDIRI","l10n_id_mpn_chart.data_account_type_bunga_bank",FALSE,"l10n_id_mpn_chart"
"a_x_811_01_004","811.01.004","PENDAPATAN BUNGA BANK JAMBI","l10n_id_mpn_chart.data_account_type_bunga_bank",FALSE,"l10n_id_mpn_chart"
"a_x_811_01_005","811.01.005","PENDAPATAN BUNGA BANK BNI","l10n_id_mpn_chart.data_account_type_bunga_bank",FALSE,"l10n_id_mpn_chart"
"a_x_811_01_006","811.01.006","PENDAPATAN BUNGA BANK MANTAP","l10n_id_mpn_chart.data_account_type_bunga_bank",FALSE,"l10n_id_mpn_chart"
"a_x_811_02_001","811.02.001","PENDAPATAN BUNGA DEPOSITO BPRKS","l10n_id_mpn_chart.data_account_type_bunga_bank",FALSE,"l10n_id_mpn_chart"
"a_x_811_02_002","811.02.002","PENDAPATAN BUNGA DEPOSITO MANDIRI","l10n_id_mpn_chart.data_account_type_bunga_bank",FALSE,"l10n_id_mpn_chart"
"a_x_811_99_001","811.99.001","PENDAPATAN SELISIH KURS","l10n_id_mpn_chart.data_account_type_pendapatan_beban_lain",FALSE,"l10n_id_mpn_chart"
"a_x_811_99_002","811.99.002","BEBAN SELISIH KURS","l10n_id_mpn_chart.data_account_type_pendapatan_beban_lain",FALSE,"l10n_id_mpn_chart"
"a_x_811_99_003","811.99.003","BEBAN CMOS","l10n_id_mpn_chart.data_account_type_pendapatan_beban_lain",FALSE,"l10n_id_mpn_chart"
"a_x_811_99_004","811.99.004","PENDAPATAN CMOS","l10n_id_mpn_chart.data_account_type_pendapatan_beban_lain",FALSE,"l10n_id_mpn_chart"
"a_x_811_99_005","811.99.005","PENDAPATAN PERBAIKAN EDC","l10n_id_mpn_chart.data_account_type_pendapatan_beban_lain",FALSE,"l10n_id_mpn_chart"
"a_x_811_99_006","811.99.006","BEBAN PELEPASAN HARDWARE","l10n_id_mpn_chart.data_account_type_pendapatan_beban_lain",FALSE,"l10n_id_mpn_chart"
"a_x_811_99_007","811.99.007","PENDAPATAN PELEPASAN HARDWARE","l10n_id_mpn_chart.data_account_type_pendapatan_beban_lain",FALSE,"l10n_id_mpn_chart"
"a_x_811_99_999","811.99.999","PENDAPATAN LAIN-LAIN","l10n_id_mpn_chart.data_account_type_pendapatan_beban_lain",FALSE,"l10n_id_mpn_chart"
"a_x_821_01_001","821.01.001","BIAYA BUNGA BANK","l10n_id_mpn_chart.data_account_type_admin_bank",FALSE,"l10n_id_mpn_chart"
"a_x_821_02_001","821.02.001","BIAYA ADMINISTRASI BANK EKONOMI","l10n_id_mpn_chart.data_account_type_admin_bank",FALSE,"l10n_id_mpn_chart"
"a_x_821_02_002","821.02.002","BIAYA ADMINISTRASI BANK BPRKS","l10n_id_mpn_chart.data_account_type_admin_bank",FALSE,"l10n_id_mpn_chart"
"a_x_821_02_003","821.02.003","BIAYA ADMINISTRASI BANK MANDIRI","l10n_id_mpn_chart.data_account_type_admin_bank",FALSE,"l10n_id_mpn_chart"
"a_x_821_02_004","821.02.004","BIAYA ADMINISTRASI BANK MANDIRI USD","l10n_id_mpn_chart.data_account_type_admin_bank",FALSE,"l10n_id_mpn_chart"
"a_x_821_02_005","821.02.005","BIAYA ADMINISTRASI BANK BNI","l10n_id_mpn_chart.data_account_type_admin_bank",FALSE,"l10n_id_mpn_chart"
"a_x_821_02_006","821.02.006","BIAYA ADMINISTRASI BANK JAMBI","l10n_id_mpn_chart.data_account_type_admin_bank",FALSE,"l10n_id_mpn_chart"
"a_x_821_02_007","821.02.007","BIAYA ADMINISTRASI BANK MANTAP","l10n_id_mpn_chart.data_account_type_admin_bank",FALSE,"l10n_id_mpn_chart"
"a_x_821_02_008","821.02.008","BIAYA ADMINISTRASI BANK BWS","l10n_id_mpn_chart.data_account_type_admin_bank",FALSE,"l10n_id_mpn_chart"
"a_x_821_02_009","821.02.009","BIAYA ADMINISTRASI BANK JATIM","l10n_id_mpn_chart.data_account_type_admin_bank",FALSE,"l10n_id_mpn_chart"
"a_x_821_03_001","821.03.001","PAJAK BANK EKONOMI","l10n_id_mpn_chart.data_account_type_admin_bank",FALSE,"l10n_id_mpn_chart"
"a_x_821_03_002","821.03.002","PAJAK BANK BPRKS","l10n_id_mpn_chart.data_account_type_admin_bank",FALSE,"l10n_id_mpn_chart"
"a_x_821_03_003","821.03.003","PAJAK BANK MANDIRI","l10n_id_mpn_chart.data_account_type_admin_bank",FALSE,"l10n_id_mpn_chart"
"a_x_821_03_004","821.03.004","BEBAN PAJAK LAINNYA","l10n_id_mpn_chart.data_account_type_pendapatan_beban_lain",FALSE,"l10n_id_mpn_chart"
"a_x_821_03_005","821.03.005","PAJAK BANK JAMBI","l10n_id_mpn_chart.data_account_type_admin_bank",FALSE,"l10n_id_mpn_chart"
"a_x_821_03_006","821.03.006","PAJAK BANK BNI","l10n_id_mpn_chart.data_account_type_admin_bank",FALSE,"l10n_id_mpn_chart"
"a_x_821_03_007","821.03.007","PAJAK BANK MANTAP","l10n_id_mpn_chart.data_account_type_admin_bank",FALSE,"l10n_id_mpn_chart"
"a_x_821_04_001","821.04.001","BEBAN SPONSORSHIP","l10n_id_mpn_chart.data_account_type_pendapatan_beban_lain",FALSE,"l10n_id_mpn_chart"
"a_x_821_04_002","821.04.002","BEBAN KARYAWAN","l10n_id_mpn_chart.data_account_type_pendapatan_beban_lain",FALSE,"l10n_id_mpn_chart"
"a_x_821_99_001","821.99.001","BIAYA MATERAI","l10n_id_mpn_chart.data_account_type_admin_bank",FALSE,"l10n_id_mpn_chart"
"a_x_899_99_001","899.99.001","PAJAK PENGHASILAN","l10n_id_mpn_chart.data_account_type_pajak_penghasilan",FALSE,"l10n_id_mpn_chart"
