"id","code","name","user_type_id:id","reconcile","chart_template_id:id"
"a_x_211.01.001","211.01.001","AKUMULASI PENYUSUTAN KOMPUTER","account.data_account_type_fixed_assets",FALSE,"l10n_id_mpn_chart"
"a_x_211.01.002","211.01.002","AKUMULASI PENYUSUTAN EDC","account.data_account_type_fixed_assets",FALSE,"l10n_id_mpn_chart"
"a_x_211.01.003","211.01.003","AKUMULASI PENYUSUTAN MEBEL DAN ATK","account.data_account_type_fixed_assets",FALSE,"l10n_id_mpn_chart"
"a_x_211.01.004","211.01.004","AKUMULASI PERALATAN KANTOR","account.data_account_type_fixed_assets",FALSE,"l10n_id_mpn_chart"
"a_x_211.01.005","211.01.005","AKUMULASI MPOS","account.data_account_type_fixed_assets",FALSE,"l10n_id_mpn_chart"
"a_x_211.01.006","211.01.006","AKUMULASI ASET PENGAMPUNAN PAJAK","account.data_account_type_fixed_assets",FALSE,"l10n_id_mpn_chart"
"a_x_211.01.007","211.01.007","AKUMULASI MESIN GRG","account.data_account_type_fixed_assets",FALSE,"l10n_id_mpn_chart"
"a_x_211.01.008","211.01.008","AKUMULASI TMD","account.data_account_type_fixed_assets",FALSE,"l10n_id_mpn_chart"
"a_x_211.01.009","211.01.009","AKUMULASI RENOVASI BANGUNAN","account.data_account_type_fixed_assets",FALSE,"l10n_id_mpn_chart"
"a_x_211.02.001","211.02.001","AKUMULASI AMORTISASI SOFTWARE","account.data_account_type_fixed_assets",FALSE,"l10n_id_mpn_chart"
"a_x_221.01.001","221.01.001","NILAI SAHAM SLT","account.data_account_type_current_assets",FALSE,"l10n_id_mpn_chart"
"a_x_221.01.002","221.01.002","KENAIKAN (PENURUNAN) SLT","account.data_account_type_current_assets",FALSE,"l10n_id_mpn_chart"
"a_x_231.01.001","231.01.001","JAMINAN DEPOSITO BANK MANDIRI","account.data_account_type_current_assets",FALSE,"l10n_id_mpn_chart"
"a_x_301.01.xxx","301.01.xxx","AKUN HUTANG SEMENTARA","account.data_account_type_payable",TRUE,"l10n_id_mpn_chart"
"a_x_301.01.001","301.01.001","HUTANG PT XXX","account.data_account_type_payable",TRUE,"l10n_id_mpn_chart"
"a_x_301.01.002","301.01.002","HUTANG KARTU NSICCS","account.data_account_type_payable",TRUE,"l10n_id_mpn_chart"
"a_x_311.01.001","311.01.001","HUTANG PAJAK PPH 21","account.data_account_type_current_liabilities",TRUE,"l10n_id_mpn_chart"
"a_x_311.01.003","311.01.003","HUTANG PAJAK PPH 23","account.data_account_type_current_liabilities",TRUE,"l10n_id_mpn_chart"
"a_x_311.01.009","311.01.009","HUTANG PAJAK PPH 29","account.data_account_type_current_liabilities",TRUE,"l10n_id_mpn_chart"
"a_x_311.01.999","311.01.999","HUTANG PAJAK","account.data_account_type_current_liabilities",TRUE,"l10n_id_mpn_chart"
"a_x_311.02.001","311.02.001","HUTANG PPN KELUARAN","account.data_account_type_current_liabilities",TRUE,"l10n_id_mpn_chart"
"a_x_321.01.001","321.01.001","SEWA EDC MERCHANT","account.data_account_type_current_liabilities",FALSE,"l10n_id_mpn_chart"
"a_x_361.01.003","361.01.003","BIAYA YANG MASIH HARUS DIBAYAR","account.data_account_type_current_liabilities",FALSE,"l10n_id_mpn_chart"
"a_x_371.01.001","371.01.001","HUTANG SEWA GUNA USAHA","account.data_account_type_current_liabilities",TRUE,"l10n_id_mpn_chart"
"a_x_371.01.002","371.01.002","HUTANG PT. ACS","account.data_account_type_payable",TRUE,"l10n_id_mpn_chart"
"a_x_371.01.003","371.01.003","HUTANG BANK BPRKS","account.data_account_type_current_liabilities",TRUE,"l10n_id_mpn_chart"
"a_x_371.01.004","371.01.004","HUTANG PT. PRATAMA LINK","account.data_account_type_payable",TRUE,"l10n_id_mpn_chart"
"a_x_381.01.001","381.01.001","PENDAPATAN DITERIMA DIMUKA","account.data_account_type_current_liabilities",FALSE,"l10n_id_mpn_chart"
"a_x_389.01.001","389.01.001","TITIPAN LAIN-LAIN","account.data_account_type_current_liabilities",FALSE,"l10n_id_mpn_chart"
"a_x_389.01.002","389.01.002","TITIPAN BSS","account.data_account_type_current_liabilities",FALSE,"l10n_id_mpn_chart"
"a_x_399.99.999","399.99.999","HUTANG LAIN-LAIN","account.data_account_type_current_liabilities",TRUE,"l10n_id_mpn_chart"
"a_x_411.01.","411.01.","PT NUANSA NIAGA PERMATA","account.data_account_type_equity",TRUE,"l10n_id_mpn_chart"
"a_x_411.02.","411.02.","PT SISNET MITRA SEJAHTERA","account.data_account_type_equity",TRUE,"l10n_id_mpn_chart"
"a_x_412.01.","412.01.","TAX AMNESTY","account.data_account_type_equity",TRUE,"l10n_id_mpn_chart"
"a_x_421.01.","421.01.","SALDO LABA (RUGI)","account.data_account_type_equity",FALSE,"l10n_id_mpn_chart"
"a_x_421.02.","421.02.","LABA (RUGI) TAHUN LALU","account.data_account_type_equity",FALSE,"l10n_id_mpn_chart"
"a_x_421.03.","421.03.","LABA (RUGI) BULAN-BULAN LALU","account.data_account_type_equity",TRUE,"l10n_id_mpn_chart"
"a_x_421.04.","421.04.","LABA (RUGI) BULAN LALU","account.data_account_type_equity",TRUE,"l10n_id_mpn_chart"
"a_x_511.01.001","511.01.001","PENDAPATAN SEWA","account.data_account_type_revenue",FALSE,"l10n_id_mpn_chart"
"a_x_511.01.002","511.01.002","PENDAPATAN ATAS BATAL SEWA","account.data_account_type_other_income",FALSE,"l10n_id_mpn_chart"
"a_x_511.01.003","511.01.003","PENDAPATAN PELEPASAN EDC","account.data_account_type_other_income",FALSE,"l10n_id_mpn_chart"
"a_x_511.01.005","511.01.005","PENDAPATAN PERPANJANGAN SEWA EDC","account.data_account_type_revenue",FALSE,"l10n_id_mpn_chart"
"a_x_511.01.006","511.01.006","PENDAPATAN SEWA BANK LAIN","account.data_account_type_revenue",FALSE,"l10n_id_mpn_chart"
"a_x_511.01.008","511.01.008","PENDAPATAN SEWA MOBILE COLLECTION","account.data_account_type_revenue",FALSE,"l10n_id_mpn_chart"
"a_x_511.01.009","511.01.009","PENDAPATAN ATM CRM","account.data_account_type_revenue",FALSE,"l10n_id_mpn_chart"
"a_x_511.02.001","511.02.001","PENDAPATAN ATAS JASA LAYANAN SOFTWARE","account.data_account_type_revenue",FALSE,"l10n_id_mpn_chart"
"a_x_511.02.002","511.02.002","PENDAPATAN TMS","account.data_account_type_revenue",FALSE,"l10n_id_mpn_chart"
"a_x_511.03.001","511.03.001","PENDAPATAN TRANSAKSI MNC LIFE","account.data_account_type_revenue",FALSE,"l10n_id_mpn_chart"
"a_x_511.04.001","511.04.001","PENDAPATAN KARTU NSICCS","account.data_account_type_revenue",FALSE,"l10n_id_mpn_chart"
"a_x_511.04.002","511.04.002","PENDAPATAN SET UP FEE KARTU NSICCS","account.data_account_type_revenue",FALSE,"l10n_id_mpn_chart"
"a_x_511.05.001","511.05.001","PENDAPATAN LICENSES PINPAD","account.data_account_type_revenue",FALSE,"l10n_id_mpn_chart"
"a_x_511.06.001","511.06.001","PENDAPATAN SET UP FEE VPS","account.data_account_type_revenue",FALSE,"l10n_id_mpn_chart"
"a_x_511.06.002","511.06.002","PENDAPATAN SEWA VPS","account.data_account_type_revenue",FALSE,"l10n_id_mpn_chart"
"a_x_511.07.001","511.07.001","PENDAPATAN ATM PROCASH 280","account.data_account_type_revenue",FALSE,"l10n_id_mpn_chart"
"a_x_511.08.001","511.08.001","PENDAPATAN MAINTENANCE EDC","account.data_account_type_revenue",FALSE,"l10n_id_mpn_chart"
"a_x_511.08.002","511.08.002","PENDAPATAN MAINTENANCE BANK LAIN","account.data_account_type_revenue",FALSE,"l10n_id_mpn_chart"
"a_x_511.09.001","511.09.001","PENDAPATAN POS SYSTEM","account.data_account_type_revenue",FALSE,"l10n_id_mpn_chart"
"a_x_511.09.002","511.09.002","PENDAPATAN PELEPASAN POS SYSTEM","account.data_account_type_other_income",FALSE,"l10n_id_mpn_chart"
"a_x_511.99.001","511.99.001","PENDAPATAN LAINNYA","account.data_account_type_other_income",FALSE,"l10n_id_mpn_chart"
"a_x_611.01.001","611.01.001","BIAYA BATAL SEWA","account.data_account_type_expenses",FALSE,"l10n_id_mpn_chart"
"a_x_611.01.002","611.01.002","PENYUSUTAN EDC","account.data_account_type_expenses",FALSE,"l10n_id_mpn_chart"
